Design Point;main_inlet_velocity [m s^-1];main_inlet_temperature [K];sec_inlet_velocity [m s^-1];sec_inlet_temperature [K]
DP 223;8.3375000000000021;596.22500000000014;31.625000000000007;554.24700000000018
DP 224;8.3525000000000027;422.5750000000001;57.075000000000024;484.18300000000011
DP 225;8.3675000000000033;587.46700000000021;48.825000000000024;553.94500000000016
DP 226;8.3825000000000021;372.44300000000004;46.27500000000002;464.55300000000011
DP 227;8.3975000000000026;348.283;26.925000000000004;385.42900000000009
DP 219;8.2775000000000034;415.62900000000008;26.825000000000003;349.189
DP 228;8.4125000000000032;359.45700000000005;42.475000000000016;556.0590000000002
DP 229;8.427500000000002;572.36700000000019;54.475000000000023;437.07100000000014
DP 230;8.4425000000000026;587.16500000000019;37.925000000000011;446.73500000000013
DP 231;8.4575000000000031;411.40100000000007;20.525;371.23500000000007
DP 232;8.4725000000000037;500.18900000000014;22.575000000000003;578.10500000000025
DP 233;8.4875000000000025;550.92500000000018;66.625000000000028;474.2170000000001
DP 234;8.5025000000000031;468.47900000000016;47.27500000000002;302.681
DP 235;8.5175000000000018;351.30300000000005;31.525000000000009;392.97900000000004
DP 236;8.5325000000000024;302.379;28.975000000000009;494.75300000000016
DP 237;8.547500000000003;381.201;56.675000000000026;444.31900000000007
DP 238;8.5625000000000036;447.33900000000011;55.375000000000021;571.76300000000015
DP 239;8.5775000000000023;571.76300000000015;43.77500000000002;466.96900000000011
DP 240;8.5925000000000029;412.91100000000006;44.02500000000002;384.523
DP 241;8.6075000000000017;338.619;59.375000000000028;421.06500000000011
DP 242;8.6225000000000023;465.1570000000001;24.275000000000002;340.43100000000004
DP 243;8.6375000000000028;575.99100000000021;30.025000000000006;550.92500000000018
DP 244;8.6525000000000034;588.9770000000002;48.575000000000017;299.963
DP 245;8.6675000000000022;521.32900000000018;56.125000000000028;329.257
DP 246;8.6825000000000028;449.45300000000009;63.47500000000003;338.619
DP 247;8.6975000000000033;396.90500000000009;46.675000000000011;503.20900000000017
DP 248;8.7125000000000021;480.55900000000014;49.675000000000018;587.76900000000023
DP 249;8.7275000000000027;344.05500000000006;68.575000000000031;550.01900000000023
DP 250;8.7425000000000033;311.137;47.175000000000011;562.7030000000002
DP 251;8.7575000000000021;407.17300000000012;37.725000000000009;383.01300000000003
DP 252;8.7725000000000026;583.8430000000003;65.975000000000023;572.66900000000021
DP 253;8.7875000000000014;458.21100000000013;21.475;394.48900000000009
DP 254;8.802500000000002;497.47100000000017;45.925000000000018;367.91300000000007
DP 255;8.8175000000000026;304.795;46.625000000000021;594.11100000000033
DP 256;8.8325000000000031;572.97100000000023;49.425000000000026;389.35500000000008
DP 257;8.8475000000000037;565.42100000000016;39.875000000000014;399.62300000000005
DP 258;8.8625000000000025;427.70900000000006;50.825000000000024;428.91700000000009
DP 259;8.8775000000000031;499.58500000000015;39.375000000000014;552.43500000000017
DP 260;8.8925000000000018;337.41100000000006;65.475000000000023;450.96300000000008
DP 261;8.9075000000000024;425.89700000000011;40.475000000000016;382.71100000000007
DP 262;8.922500000000003;535.82500000000016;43.425000000000018;326.841
DP 263;8.9375000000000036;374.557;23.925000000000004;443.1110000000001
DP 264;8.9525000000000023;423.78300000000013;25.525000000000006;379.38900000000007
DP 265;8.9675000000000029;451.56700000000012;51.77500000000002;441.90300000000013
DP 266;8.9825000000000017;534.31500000000017;37.175000000000011;588.9770000000002
DP 267;8.9975000000000023;529.7850000000002;59.275000000000027;418.64900000000011
DP 268;9.0125000000000028;584.14500000000021;49.975000000000023;591.39300000000026
DP 269;9.0275000000000034;384.82500000000005;29.525000000000006;310.231
DP 270;9.042500000000004;498.6790000000002;38.925000000000011;354.02100000000007
DP 271;9.0575000000000028;417.44100000000009;36.32500000000001;437.67500000000007
DP 272;9.0725000000000016;392.37500000000006;57.325000000000031;312.949
DP 273;9.0875000000000021;390.56300000000005;69.525000000000034;540.95900000000017
DP 274;9.1025000000000027;380.29500000000007;55.22500000000003;517.70500000000015
DP 275;9.1175000000000033;595.62100000000021;24.925000000000004;579.61500000000024
DP 276;9.1325000000000038;431.93700000000013;24.525000000000002;563.91100000000029
DP 277;9.1475000000000026;496.56500000000017;28.625000000000007;500.49100000000016
DP 278;9.1625000000000032;513.77900000000022;32.525000000000006;441.29900000000009
DP 279;9.177500000000002;506.53100000000018;24.125000000000004;478.14300000000014
DP 280;9.1925000000000026;353.41700000000003;27.275000000000006;348.88700000000006
DP 281;9.2075000000000031;406.26700000000005;41.175000000000011;427.4070000000001
DP 282;9.2225000000000037;324.72700000000003;67.275000000000034;438.58100000000013
DP 283;9.2375000000000025;376.67100000000005;40.52500000000002;546.69700000000012
DP 284;9.2525000000000031;413.81700000000012;37.975000000000009;304.795
DP 285;9.2675000000000018;311.741;68.775000000000034;456.39900000000011
DP 286;9.2825000000000024;438.27900000000011;35.525000000000013;412.60900000000009
DP 287;9.297500000000003;328.653;63.625000000000036;333.485
DP 288;9.3125000000000036;315.66700000000003;64.225000000000037;586.56100000000015
DP 289;9.3275000000000041;554.54900000000021;49.27500000000002;350.095
DP 290;9.3425000000000029;527.36900000000014;57.675000000000026;561.79700000000025
DP 291;9.3575000000000035;502.30300000000017;26.875000000000004;300.567
DP 292;9.3725000000000023;514.08100000000013;68.475000000000037;532.50300000000016
DP 293;9.3875000000000028;494.45100000000014;62.075000000000031;448.54700000000014
DP 294;9.4025000000000034;476.02900000000011;31.57500000000001;403.54900000000009
DP 295;9.417500000000004;440.39300000000014;52.475000000000023;591.99700000000018
DP 296;9.4325000000000028;364.89300000000003;37.375000000000014;588.37300000000027
DP 297;9.4475000000000033;399.01900000000006;25.175000000000004;417.44100000000009
DP 298;9.4625000000000021;308.721;28.525000000000006;525.25500000000022
DP 299;9.4775000000000027;486.29700000000014;29.875000000000007;477.23700000000008
DP 300;9.4925000000000033;300.869;31.775000000000009;405.66300000000007
DP 301;9.5075000000000038;499.28300000000013;57.175000000000026;559.98500000000013
DP 302;9.5225000000000044;344.65900000000005;64.025000000000034;382.40900000000005
DP 303;9.5375000000000032;598.94300000000021;42.375000000000014;562.40100000000018
DP 304;9.552500000000002;435.56100000000009;38.675000000000011;514.98700000000019
DP 305;9.5675000000000026;558.47500000000014;21.725;303.587
DP 306;9.5825000000000031;566.62900000000013;49.175000000000018;424.08500000000009
DP 307;9.5975000000000037;462.7410000000001;68.825000000000045;531.89900000000023
DP 308;9.6125000000000043;452.77500000000009;34.875000000000014;353.115
DP 309;9.6275000000000031;550.62300000000027;20.825;309.92900000000003
DP 310;9.6425000000000036;444.62100000000009;57.125000000000028;390.86500000000007
DP 311;9.6575000000000024;371.23500000000007;53.625000000000028;360.66500000000008
DP 312;9.672500000000003;595.01700000000028;45.875000000000014;570.55500000000029
DP 313;9.6875000000000036;453.6810000000001;42.27500000000002;342.24300000000005
DP 314;9.7025000000000041;301.473;38.625000000000014;528.87900000000013
DP 315;9.7175000000000029;518.61100000000022;46.875000000000014;466.0630000000001
DP 316;9.7325000000000035;409.28700000000009;61.97500000000003;352.20900000000006
DP 317;9.7475000000000023;378.48300000000006;48.325000000000024;306.003
DP 318;9.7625000000000028;329.86100000000005;33.725000000000009;527.67100000000016
DP 319;9.7775000000000034;498.07500000000016;62.47500000000003;518.61100000000022
DP 320;9.792500000000004;485.6930000000001;42.925000000000018;514.08100000000013
DP 321;9.8075000000000045;570.8570000000002;59.525000000000034;560.89100000000019
DP 322;9.8225000000000033;398.11300000000006;25.975000000000005;492.3370000000001
DP 323;9.8375000000000039;536.73100000000022;43.625000000000014;359.45700000000005
DP 324;9.8525000000000027;454.5870000000001;54.325000000000031;348.283
DP 325;9.8675000000000033;371.83900000000006;64.625000000000028;407.17300000000012
DP 326;9.8825000000000038;314.15700000000004;29.175000000000004;574.78300000000024
DP 327;9.8975000000000044;408.07900000000006;58.775000000000027;480.25700000000012
DP 328;9.9125000000000032;592.29900000000021;20.375;373.65100000000007
DP 329;9.9275000000000038;489.01500000000016;65.42500000000004;512.87300000000016
DP 330;9.9425000000000026;377.879;32.725000000000009;346.16900000000004
DP 331;9.9575000000000031;564.21300000000019;35.775000000000013;572.36700000000019
DP 332;9.9725000000000037;423.17900000000009;26.625000000000004;568.44100000000026
DP 333;9.9875000000000043;428.61500000000012;29.375000000000007;464.85500000000013
DP 334;10.002500000000005;529.18100000000015;58.625000000000028;452.47300000000007
DP 335;10.017500000000004;594.71500000000026;38.275000000000013;565.11900000000014
DP 336;10.032500000000002;334.69300000000004;32.025000000000006;408.98500000000007
DP 337;10.047500000000003;597.13100000000031;44.27500000000002;451.86900000000009
DP 338;10.062500000000004;484.18300000000011;53.72500000000003;392.07300000000009
DP 339;10.077500000000004;402.94500000000005;65.625000000000028;345.867
DP 340;10.092500000000005;556.66300000000024;36.975000000000009;484.78700000000015
DP 341;10.107500000000003;330.76700000000005;53.77500000000002;362.77900000000005
DP 342;10.122500000000004;527.06700000000023;53.425000000000026;572.97100000000023
DP 343;10.137500000000003;588.67500000000018;51.125000000000028;581.72900000000027
DP 344;10.152500000000003;363.98700000000008;67.92500000000004;404.4550000000001
DP 345;10.167500000000004;572.66900000000021;36.475000000000009;508.6450000000001
DP 346;10.182500000000005;589.58100000000013;65.825000000000045;418.95100000000008
DP 347;10.197500000000003;395.99900000000008;57.22500000000003;416.53500000000008
DP 348;10.212500000000004;474.82100000000014;34.525000000000006;437.3730000000001
DP 349;10.227500000000003;569.95100000000025;43.225000000000023;319.593
DP 350;10.242500000000003;325.935;36.07500000000001;515.2890000000001
DP 351;10.257500000000004;563.60900000000015;45.625000000000021;564.81700000000023
DP 352;10.272500000000004;503.20900000000017;59.97500000000003;471.49900000000014
DP 353;10.287500000000005;542.16700000000014;60.875000000000028;353.41700000000003
DP 354;10.302500000000004;340.129;35.32500000000001;417.13900000000012
DP 355;10.317500000000004;376.06700000000006;66.725000000000037;582.3330000000002
DP 356;10.332500000000003;524.65100000000018;48.125000000000021;447.03700000000015
DP 357;10.347500000000004;328.04900000000004;68.92500000000004;493.54500000000013
DP 358;10.362500000000004;357.04100000000005;45.225000000000023;529.18100000000015
DP 359;10.377500000000005;360.96700000000004;67.42500000000004;341.33700000000005
DP 360;10.392500000000004;462.13700000000006;64.725000000000037;423.48100000000011
DP 361;10.407500000000004;401.43500000000006;57.475000000000023;433.44700000000012
DP 362;10.422500000000003;593.8090000000002;64.475000000000023;378.78500000000008
DP 363;10.437500000000004;517.70500000000015;29.325000000000006;587.16500000000019
DP 364;10.452500000000004;496.86700000000019;22.775000000000002;376.67100000000005
DP 365;10.467500000000005;456.09700000000009;38.575000000000017;428.3130000000001
DP 366;10.482500000000005;309.92900000000003;26.675000000000004;588.67500000000018
DP 367;10.497500000000004;482.67300000000012;49.325000000000024;373.047
DP 368;10.512500000000003;476.93500000000017;42.875000000000014;440.69500000000011
DP 369;10.527500000000003;500.79300000000012;58.825000000000031;507.73900000000015
DP 370;10.542500000000004;429.52100000000007;60.375000000000028;314.459
DP 371;10.557500000000005;553.34100000000012;30.475000000000009;328.04900000000004
DP 372;10.572500000000005;410.79700000000008;43.375000000000014;504.71900000000016
DP 373;10.587500000000004;433.44700000000012;51.725000000000023;379.08700000000005
DP 374;10.602500000000004;430.7290000000001;57.025000000000027;455.49300000000005
DP 375;10.617500000000003;573.27300000000014;20.025;505.02100000000013
DP 376;10.632500000000004;492.3370000000001;31.925000000000011;566.0250000000002
DP 377;10.647500000000004;431.03100000000006;45.52500000000002;320.80100000000004
DP 378;10.662500000000005;347.67900000000003;60.125000000000036;592.90300000000025
DP 379;10.677500000000004;354.62500000000006;69.325000000000045;372.14100000000008
DP 380;10.692500000000004;445.5270000000001;56.025000000000027;362.17500000000007
DP 381;10.707500000000003;343.149;54.375000000000021;328.653
DP 382;10.722500000000004;426.50100000000009;41.02500000000002;353.71900000000005
DP 383;10.737500000000004;594.41300000000024;39.77500000000002;575.99100000000021
DP 384;10.752500000000005;416.53500000000008;51.375000000000021;307.211
